"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","govern","countri","must","nation","upon","constitut","must","will"
"2","can","nation","secur","freedom","will","law","war","america"
"3","justic","unit","govern","world","great","shall","world","new"
"4","nation","one","proper","peac","law","state","order","make"
"5","continu","now","will","peopl","peopl","right","republ","let"
"6","much","everi","race","can","state","union","civil","american"
"7","support","will","may","live","public","peopl","concern","time"
"8","respons","best","necessari","hope","may","govern","industri","great"
"9","feder","govern","legisl","free","without","can","common","today"
"10","ideal","parti","trade","know","congress","servic","inspir","god"
"11","peac","question","busi","need","execut","will","never","peopl"
"12","independ","time","made","come","shall","author","seek","heart"
"13","mani","citizen","increas","histori","offic","equal","product","one"
"14","citizen","power","right","mean","condit","made","materi","day"
"15","maintain","effort","consider","help","elect","sens","turn","share"
"16","progress","year","reason","must","power","whole","individu","place"
"17","system","principl","south","men","well","administr","task","presid"
"18","thought","faith","import","life","duti","case","understand","year"
"19","toward","polit","amend","earth","establish","now","full","togeth"
"20","advanc","far","mere","good","interest","view","call","right"
